subject,sessionIndex,rep,password,H,DD,UD
s002,1,1,.tie5Roanl,"[149, 106, 116, 141, 114, 106, 101, 134, 93, 133, 74]","[397, 167, 221, 1188, 1605, 759, 213, 148, 351, 350]","[248, 60, 104, 1046, 1490, 652, 112, 13, 258, 217]"
s003,1,1,.tie5Roanl,"[133, 124, 133, 93, 69, 96, 122, 129, 109, 100, 103]","[263, 173, 197, 830, 490, 358, 213, 223, 381, 299]","[130, 49, 64, 736, 420, 262, 91, 94, 272, 199]"
s004,1,1,.tie5Roanl,"[93, 96, 80, 80, 80, 123, 62, 85, 87, 99, 74]","[430, 180, 147, 783, 644, 257, 210, 154, 223, 365]","[336, 84, 66, 702, 563, 134, 148, 68, 135, 266]"
s005,1,1,.tie5Roanl,"[72, 125, 85, 120, 66, 112, 100, 184, 74, 86, 79]","[239, 341, 806, 718, 867, 680, 1372, 562, 377, 603]","[166, 216, 721, 597, 801, 568, 1272, 378, 303, 516]"
s007,1,1,.tie5Roanl,"[81, 60, 107, 109, 55, 44, 66, 96, 121, 90, 86]","[233, 110, 167, 542, 533, 330, 257, 276, 364, 917]","[151, 49, 60, 433, 478, 285, 191, 180, 243, 826]"
s008,1,1,.tie5Roanl,"[100, 92, 75, 54, 80, 113, 99, 131, 96, 79, 124]","[244, 106, 115, 676, 381, 534, 114, 179, 223, 520]","[144, 13, 40, 621, 300, 420, 15, 48, 127, 441]"
s010,1,1,.tie5Roanl,"[104, 56, 78, 53, 79, 54, 87, 54, 84, 71, 66]","[175, 181, 210, 486, 675, 140, 133, 119, 210, 226]","[71, 125, 132, 432, 595, 86, 46, 64, 125, 154]"
s011,1,1,.tie5Roanl,"[109, 105, 93, 114, 76, 107, 95, 163, 100, 94, 45]","[259, 103, 154, 705, 548, 351, 206, 267, 199, 250]","[149, -2, 61, 591, 471, 243, 111, 103, 99, 156]"
s012,1,1,.tie5Roanl,"[186, 156, 153, 155, 117, 157, 137, 139, 130, 141, 116]","[267, 251, 172, 908, 788, 580, 102, 202, 341, 408]","[81, 94, 19, 752, 670, 423, -34, 62, 210, 266]"
s013,1,1,.tie5Roanl,"[95, 57, 92, 68, 57, 65, 89, 89, 95, 96, 105]","[414, 74, 87, 882, 380, 130, 85, 100, 485, 397]","[318, 17, -5, 814, 322, 65, -3, 10, 389, 301]"
s015,1,1,.tie5Roanl,"[102, 64, 85, 73, 59, 80, 92, 66, 83, 82, 69]","[259, 104, 138, 486, 812, 658, 209, 143, 175, 322]","[156, 39, 53, 412, 753, 577, 117, 77, 91, 239]"
s016,1,1,.tie5Roanl,"[106, 80, 110, 82, 81, 79, 124, 99, 122, 129, 135]","[733, 294, 280, 951, 1137, 289, 583, 487, 362, 517]","[627, 214, 170, 868, 1055, 209, 459, 388, 239, 388]"
