Login,IsLegalUser,AuthenticationMethod,IsAuthenticated,N,H_Score,DU_Score,UU_Score,DD_Score,TotalAuthenticationScore
s057,True,Manhattan,True,1,0.015,0.118,0,0,0.0665
s057,True,Manhattan,True,1,0.016,0.17,0,0,0.093
s057,True,Manhattan,True,1,0.008,0.141,0,0,0.0745
s057,True,Manhattan,True,1,0.02,0.158,0,0,0.089
s057,True,Manhattan,True,1,0.012,0.152,0,0,0.082
s057,True,Manhattan,True,1,0.015,0.165,0,0,0.09
s057,True,Manhattan,True,1,0.015,0.149,0,0,0.08199999999999999
s057,True,Manhattan,True,1,0.013,0.154,0,0,0.0835
s057,True,Manhattan,True,1,0.015,0.178,0,0,0.0965
s057,True,Manhattan,True,1,0.019,0.162,0,0,0.0905
s057,True,Manhattan,True,1,0.013,0.145,0,0,0.079
s057,True,Manhattan,True,1,0.013,0.139,0,0,0.07600000000000001
s057,True,Manhattan,True,1,0.015,0.151,0,0,0.08299999999999999
s057,True,Manhattan,True,1,0.013,0.17,0,0,0.09150000000000001
s057,True,Manhattan,True,1,0.016,0.167,0,0,0.0915
s057,True,Manhattan,True,1,0.02,0.178,0,0,0.09899999999999999
s057,True,Manhattan,True,1,0.012,0.173,0,0,0.0925
s057,True,Manhattan,True,1,0.021,0.137,0,0,0.079
s057,True,Manhattan,True,1,0.017,0.137,0,0,0.07700000000000001
s057,True,Manhattan,True,1,0.016,0.162,0,0,0.089
s057,True,Manhattan,True,1,0.017,0.164,0,0,0.0905
s057,True,Manhattan,True,1,0.019,0.154,0,0,0.0865
s057,True,Manhattan,True,1,0.015,0.19,0,0,0.10250000000000001
s057,True,Manhattan,True,1,0.019,0.142,0,0,0.08049999999999999
s057,True,Manhattan,True,1,0.016,0.151,0,0,0.08349999999999999
s057,True,Manhattan,True,1,0.014,0.185,0,0,0.0995
s057,True,Manhattan,True,1,0.019,0.166,0,0,0.0925
s057,True,Manhattan,True,1,0.019,0.154,0,0,0.0865
s057,True,Manhattan,True,1,0.017,0.144,0,0,0.08049999999999999
s057,True,Manhattan,True,1,0.017,0.145,0,0,0.08099999999999999
s057,True,Manhattan,True,1,0.018,0.139,0,0,0.0785
s057,True,Manhattan,True,1,0.017,0.159,0,0,0.088
s057,True,Manhattan,True,1,0.011,0.183,0,0,0.097
s057,True,Manhattan,True,1,0.013,0.169,0,0,0.09100000000000001
