Login,IsLegalUser,AuthenticationMethod,IsAuthenticated,N,H_Score,DU_Score,UU_Score,DD_Score,TotalAuthenticationScore
s057,True,NormalizedEuclidian,True,1,0.052,0.16,0,0,0.106
s057,True,NormalizedEuclidian,True,1,0.055,0.199,0,0,0.127
s057,True,NormalizedEuclidian,True,1,0.03,0.143,0,0,0.0865
s057,True,NormalizedEuclidian,True,1,0.053,0.196,0,0,0.1245
s057,True,NormalizedEuclidian,True,1,0.034,0.168,0,0,0.101
s057,True,NormalizedEuclidian,True,1,0.051,0.16,0,0,0.1055
s057,True,NormalizedEuclidian,True,1,0.049,0.156,0,0,0.10250000000000001
s057,True,NormalizedEuclidian,True,1,0.04,0.171,0,0,0.10550000000000001
s057,True,NormalizedEuclidian,True,1,0.043,0.208,0,0,0.1255
s057,True,NormalizedEuclidian,True,1,0.049,0.201,0,0,0.125
s057,True,NormalizedEuclidian,True,1,0.046,0.169,0,0,0.10750000000000001
s057,True,NormalizedEuclidian,True,1,0.044,0.113,0,0,0.0785
s057,True,NormalizedEuclidian,True,1,0.052,0.181,0,0,0.11649999999999999
s057,True,NormalizedEuclidian,True,1,0.039,0.179,0,0,0.109
s057,True,NormalizedEuclidian,True,1,0.052,0.133,0,0,0.0925
s057,True,NormalizedEuclidian,True,1,0.063,0.189,0,0,0.126
s057,True,NormalizedEuclidian,True,1,0.038,0.233,0,0,0.1355
s057,True,NormalizedEuclidian,True,1,0.081,0.159,0,0,0.12
s057,True,NormalizedEuclidian,True,1,0.057,0.164,0,0,0.1105
s057,True,NormalizedEuclidian,True,1,0.051,0.186,0,0,0.1185
s057,True,NormalizedEuclidian,True,1,0.056,0.188,0,0,0.122
s057,True,NormalizedEuclidian,True,1,0.064,0.168,0,0,0.116
s057,True,NormalizedEuclidian,True,1,0.05,0.249,0,0,0.1495
s057,True,NormalizedEuclidian,True,1,0.064,0.202,0,0,0.133
s057,True,NormalizedEuclidian,True,1,0.057,0.172,0,0,0.11449999999999999
s057,True,NormalizedEuclidian,True,1,0.049,0.222,0,0,0.1355
s057,True,NormalizedEuclidian,True,1,0.057,0.149,0,0,0.103
s057,True,NormalizedEuclidian,True,1,0.07,0.171,0,0,0.12050000000000001
s057,True,NormalizedEuclidian,True,1,0.059,0.197,0,0,0.128
s057,True,NormalizedEuclidian,True,1,0.058,0.142,0,0,0.09999999999999999
s057,True,NormalizedEuclidian,True,1,0.062,0.167,0,0,0.1145
s057,True,NormalizedEuclidian,True,1,0.06,0.188,0,0,0.124
s057,True,NormalizedEuclidian,True,1,0.035,0.215,0,0,0.125
s057,True,NormalizedEuclidian,True,1,0.041,0.174,0,0,0.1075
s057,True,NormalizedEuclidian,True,1,0.054,0.153,0,0,0.1035
s057,True,NormalizedEuclidian,True,1,0.05,0.147,0,0,0.0985
s057,True,NormalizedEuclidian,True,1,0.046,0.153,0,0,0.0995
s057,True,NormalizedEuclidian,True,1,0.068,0.21,0,0,0.139
s057,True,NormalizedEuclidian,True,1,0.055,0.205,0,0,0.13
s057,True,NormalizedEuclidian,True,1,0.043,0.199,0,0,0.121
s057,True,NormalizedEuclidian,True,1,0.045,0.15,0,0,0.0975
s057,True,NormalizedEuclidian,False,1,0.059,0.245,0,0,0.152
s057,True,NormalizedEuclidian,True,1,0.038,0.2,0,0,0.11900000000000001
s057,True,NormalizedEuclidian,True,1,0.065,0.124,0,0,0.0945
s057,True,NormalizedEuclidian,True,1,0.057,0.156,0,0,0.1065
s057,True,NormalizedEuclidian,True,1,0.029,0.157,0,0,0.093
s057,True,NormalizedEuclidian,True,1,0.045,0.194,0,0,0.1195
s057,True,NormalizedEuclidian,True,1,0.033,0.163,0,0,0.098
