Login,IsLegalUser,AuthenticationMethod,IsAuthenticated,N,H_Score,DU_Score,UU_Score,DD_Score,TotalAuthenticationScore
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,False,GunettiPicardi,False,2,0,0,0,0,1
s057,True,GunettiPicardi,False,2,0,0,0,0,1
s057,True,GunettiPicardi,False,2,0,0,0,0,1
s056,False,GunettiPicardi,False,2,0,0,0,0,1
s056,False,GunettiPicardi,False,2,0,0,0,0,1
s056,False,GunettiPicardi,False,2,0,0,0,0,1
s056,False,GunettiPicardi,False,2,0,0,0,0,1
s056,False,GunettiPicardi,False,2,0,0,0,0,1
s056,False,GunettiPicardi,False,2,0,0,0,0,1
s056,False,GunettiPicardi,False,2,0,0,0,0,1
s056,False,GunettiPicardi,False,2,0,0,0,0,1
s056,False,GunettiPicardi,False,2,0,0,0,0,1
s056,False,GunettiPicardi,False,2,0,0,0,0,1
s056,False,GunettiPicardi,False,2,0,0,0,0,1
s056,False,GunettiPicardi,False,2,0,0,0,0,1
s056,False,GunettiPicardi,False,2,0,0,0,0,1
s056,False,GunettiPicardi,False,2,0,0,0,0,1
s056,False,GunettiPicardi,False,2,0,0,0,0,1
