Login,IsLegalUser,AuthenticationMethod,IsAuthenticated,N,H_Score,DU_Score,UU_Score,DD_Score,TotalAuthenticationScore
s057,False,NormalizedManhattan,True,2,0.066,0.171,0.129,0.113,0.11975
s057,False,NormalizedManhattan,True,2,0.078,0.241,0.156,0.117,0.148
s057,False,NormalizedManhattan,True,2,0.068,0.16,0.14,0.128,0.124
s057,False,NormalizedManhattan,True,2,0.061,0.166,0.131,0.1,0.11449999999999999
s057,False,NormalizedManhattan,True,2,0.056,0.145,0.115,0.095,0.10275000000000001
s057,False,NormalizedManhattan,True,2,0.057,0.181,0.13,0.098,0.11649999999999999
s057,False,NormalizedManhattan,True,2,0.052,0.155,0.121,0.107,0.10874999999999999
s057,False,NormalizedManhattan,True,2,0.062,0.25,0.123,0.091,0.1315
s057,False,NormalizedManhattan,True,2,0.045,0.188,0.1,0.113,0.11149999999999999
s057,False,NormalizedManhattan,True,2,0.044,0.12,0.104,0.1,0.092
s057,False,NormalizedManhattan,True,2,0.069,0.203,0.158,0.144,0.14350000000000002
s057,False,NormalizedManhattan,True,2,0.054,0.154,0.112,0.109,0.10725
s057,False,NormalizedManhattan,True,2,0.044,0.167,0.131,0.117,0.11475
s057,False,NormalizedManhattan,True,2,0.047,0.168,0.127,0.118,0.115
s057,False,NormalizedManhattan,True,2,0.055,0.106,0.093,0.101,0.08875
s057,False,NormalizedManhattan,True,2,0.075,0.133,0.122,0.096,0.10650000000000001
s057,False,NormalizedManhattan,True,2,0.046,0.155,0.102,0.091,0.0985
s057,False,NormalizedManhattan,True,2,0.063,0.17,0.118,0.119,0.1175
s057,False,NormalizedManhattan,True,2,0.061,0.156,0.101,0.097,0.10375000000000001
s057,False,NormalizedManhattan,True,2,0.038,0.186,0.161,0.159,0.136
s057,False,NormalizedManhattan,True,2,0.089,0.176,0.077,0.086,0.10700000000000001
s057,False,NormalizedManhattan,True,2,0.058,0.138,0.11,0.092,0.0995
s057,False,NormalizedManhattan,True,2,0.03,0.152,0.107,0.098,0.09675
s057,False,NormalizedManhattan,True,2,0.049,0.153,0.118,0.095,0.10375000000000001
s057,True,NormalizedManhattan,True,2,0.044,0.163,0.118,0.116,0.11025
s057,True,NormalizedManhattan,True,2,0.034,0.148,0.099,0.101,0.0955
s056,False,NormalizedManhattan,True,2,0.042,0.176,0.123,0.161,0.1255
s056,False,NormalizedManhattan,True,2,0.033,0.123,0.104,0.104,0.091
s056,False,NormalizedManhattan,True,2,0.032,0.149,0.132,0.121,0.1085
s056,False,NormalizedManhattan,True,2,0.029,0.186,0.159,0.153,0.13175
s056,False,NormalizedManhattan,True,2,0.045,0.194,0.166,0.166,0.14275000000000002
s056,False,NormalizedManhattan,True,2,0.025,0.212,0.125,0.143,0.12625
s056,False,NormalizedManhattan,True,2,0.028,0.137,0.12,0.117,0.1005
s056,False,NormalizedManhattan,True,2,0.031,0.147,0.117,0.139,0.1085
s056,False,NormalizedManhattan,True,2,0.025,0.207,0.163,0.164,0.13975
s056,False,NormalizedManhattan,True,2,0.049,0.163,0.099,0.122,0.10825000000000001
s056,False,NormalizedManhattan,True,2,0.025,0.089,0.075,0.091,0.07
s056,False,NormalizedManhattan,True,2,0.043,0.174,0.139,0.138,0.1235
s056,False,NormalizedManhattan,False,2,0.045,0.255,0.208,0.21,0.1795
s056,False,NormalizedManhattan,True,2,0.033,0.183,0.137,0.159,0.128
s056,False,NormalizedManhattan,True,2,0.03,0.16,0.127,0.145,0.11549999999999999
s056,False,NormalizedManhattan,True,2,0.016,0.134,0.1,0.097,0.08675
s056,False,NormalizedManhattan,True,2,0.054,0.184,0.129,0.142,0.12725
s056,False,NormalizedManhattan,True,2,0.019,0.14,0.117,0.122,0.0995
s056,False,NormalizedManhattan,True,2,0.028,0.181,0.144,0.155,0.127
s056,False,NormalizedManhattan,True,2,0.055,0.191,0.159,0.164,0.14225000000000002
s056,False,NormalizedManhattan,False,2,0.046,0.236,0.166,0.179,0.15675
s056,False,NormalizedManhattan,True,2,0.044,0.2,0.169,0.17,0.14575000000000002
s056,False,NormalizedManhattan,False,2,0.027,0.225,0.188,0.191,0.15775
s056,False,NormalizedManhattan,True,2,0.028,0.205,0.17,0.177,0.14500000000000002
s056,False,NormalizedManhattan,False,2,0.061,0.234,0.193,0.202,0.17250000000000001
s056,False,NormalizedManhattan,True,2,0.019,0.184,0.163,0.159,0.13125
s056,False,NormalizedManhattan,True,2,0.053,0.189,0.152,0.158,0.138
s056,False,NormalizedManhattan,True,2,0.056,0.197,0.144,0.14,0.13425
s056,False,NormalizedManhattan,False,2,0.045,0.244,0.214,0.209,0.178
s056,False,NormalizedManhattan,True,2,0.042,0.147,0.11,0.137,0.109
s056,False,NormalizedManhattan,True,2,0.05,0.166,0.122,0.146,0.121
s056,False,NormalizedManhattan,True,2,0.062,0.14,0.115,0.134,0.11275
s056,False,NormalizedManhattan,False,2,0.02,0.236,0.198,0.202,0.164
s056,False,NormalizedManhattan,False,2,0.032,0.229,0.201,0.196,0.1645
s056,False,NormalizedManhattan,True,2,0.026,0.208,0.159,0.186,0.14475
s056,False,NormalizedManhattan,True,2,0.066,0.152,0.13,0.127,0.11875
