Login,IsLegalUser,AuthenticationMethod,IsAuthenticated,N,H_Score,DU_Score,UU_Score,DD_Score,TotalAuthenticationScore
s057,False,Euclidian,True,3,0.041,0.196,0.157,0.15,0.136
s057,False,Euclidian,True,3,0.01,0.098,0.106,0.108,0.0805
s057,False,Euclidian,True,3,0.014,0.148,0.144,0.145,0.11274999999999999
s057,False,Euclidian,True,3,0.015,0.15,0.139,0.138,0.1105
s057,False,Euclidian,True,3,0.009,0.12,0.114,0.114,0.08925
s057,False,Euclidian,True,3,0.021,0.131,0.118,0.121,0.09775
s057,False,Euclidian,True,3,0.009,0.167,0.17,0.168,0.1285
s057,False,Euclidian,True,3,0.013,0.123,0.124,0.124,0.096
s057,False,Euclidian,True,3,0.016,0.101,0.09,0.089,0.07400000000000001
s057,False,Euclidian,True,3,0.06,0.134,0.093,0.104,0.09775
s057,False,Euclidian,True,3,0.081,0.13,0.089,0.075,0.09375000000000001
s057,False,Euclidian,True,3,0.024,0.112,0.093,0.092,0.08025
s057,False,Euclidian,True,3,0.016,0.106,0.094,0.095,0.07775
s057,False,Euclidian,True,3,0.018,0.117,0.109,0.111,0.08875
s057,False,Euclidian,True,3,0.025,0.081,0.095,0.082,0.07075000000000001
s057,False,Euclidian,True,3,0.019,0.157,0.143,0.144,0.11574999999999999
s057,False,Euclidian,True,3,0.028,0.145,0.121,0.121,0.10375
s057,False,Euclidian,True,3,0.024,0.111,0.097,0.09,0.0805
s057,False,Euclidian,True,3,0.016,0.08,0.091,0.09,0.06925
s057,False,Euclidian,True,3,0.009,0.074,0.073,0.076,0.057999999999999996
s057,False,Euclidian,True,3,0.017,0.154,0.15,0.151,0.118
s057,False,Euclidian,True,3,0.026,0.082,0.08,0.074,0.0655
s057,False,Euclidian,True,3,0.036,0.084,0.086,0.082,0.072
s057,False,Euclidian,True,3,0.012,0.132,0.122,0.122,0.097
s057,False,Euclidian,False,3,0.019,0.202,0.195,0.193,0.15225
s057,False,Euclidian,True,3,0.005,0.132,0.134,0.133,0.101
s057,False,Euclidian,True,3,0.009,0.069,0.072,0.069,0.05475
s057,False,Euclidian,True,3,0.021,0.176,0.171,0.173,0.13524999999999998
s057,False,Euclidian,True,3,0.025,0.082,0.072,0.063,0.0605
s057,False,Euclidian,True,3,0.023,0.183,0.159,0.162,0.13175
s057,False,Euclidian,True,3,0.013,0.093,0.086,0.082,0.0685
s057,False,Euclidian,True,3,0.025,0.142,0.124,0.124,0.10375
s057,False,Euclidian,True,3,0.009,0.122,0.131,0.124,0.0965
s057,False,Euclidian,True,3,0.011,0.155,0.161,0.161,0.122
s057,False,Euclidian,True,3,0.027,0.127,0.104,0.098,0.089
s057,False,Euclidian,True,3,0.012,0.159,0.152,0.155,0.1195
s057,False,Euclidian,True,3,0.014,0.141,0.132,0.137,0.10600000000000001
s057,False,Euclidian,True,3,0.014,0.143,0.143,0.136,0.109
s057,False,Euclidian,True,3,0.019,0.182,0.165,0.163,0.13225
s057,False,Euclidian,True,3,0.011,0.073,0.068,0.069,0.05525
s057,False,Euclidian,True,3,0.024,0.197,0.173,0.175,0.14225
s057,False,Euclidian,True,3,0.015,0.114,0.115,0.116,0.09
s057,False,Euclidian,True,3,0.014,0.117,0.12,0.122,0.09325
s057,False,Euclidian,True,3,0.033,0.178,0.151,0.153,0.12875
s057,False,Euclidian,True,3,0.016,0.107,0.113,0.111,0.08675
